Xhosa (xh)	Positive	Negative	Anger	Anticipation	Disgust	Fear	Joy	Sadness	Surprise	Trust
ukungathembeki	0	1	0	0	1	0	0	0	0	0
zihlazo	0	1	1	0	1	1	0	1	0	0
ukuphazamiseka	0	1	1	0	1	0	0	1	0	0
ku tshathisa	0	0	0	0	0	0	0	0	0	0
i-disinfectant	0	0	0	0	0	0	0	0	0	0
ukukhutshwa komzimba	1	0	0	0	0	0	0	0	0	0
i nkcazelo	0	1	1	0	0	1	0	0	0	0
ngafuni	0	1	0	0	1	0	0	0	0	0
zidibanise	0	1	0	0	1	1	0	0	0	0
ukutshatyalaliswa	0	1	0	0	0	0	0	0	0	0
ngathandeki	0	1	0	0	0	0	0	0	0	0
disjoint	0	0	0	0	0	0	0	0	0	0
zidibene	0	0	0	0	0	0	0	0	0	0
zidibanisa	0	0	0	0	0	0	0	0	0	0
disk	0	0	0	0	0	0	0	0	0	0
diskette	0	0	0	0	0	0	0	0	0	0
nga thandiyo	0	1	1	0	1	0	0	0	0	0
nga thandiyo	0	1	1	0	0	0	0	1	0	0
zahlulwa	0	1	1	0	1	1	0	1	0	0
ukutshintshwa	0	0	0	0	0	0	0	0	0	0
ku rhoxisa	0	0	0	0	0	0	0	0	0	0
ziphazamisekile	0	1	0	0	1	1	0	1	0	0
qhayisa	0	1	1	1	0	1	0	1	1	0
ukukhutshwa	0	1	0	0	1	1	0	1	0	0
ukugxotha	0	0	0	0	0	0	0	0	0	0
ukuxothwa	0	1	1	0	1	1	0	1	1	0
qhekeza	0	0	0	0	0	0	0	0	0	0
ukungathobeli	0	1	1	0	1	0	0	0	0	0
nga thobeli	0	1	1	0	0	0	0	0	0	0
nga thobeli	0	1	1	0	1	0	0	0	0	0
ngxaki	0	1	0	0	0	1	0	0	0	0
ngokungahambi kakuhle	0	1	0	0	0	0	0	0	0	0
nga lungiswa	0	1	0	0	0	0	0	0	0	0
ukudideka	0	1	1	0	1	0	0	1	0	0
ukuphazamisa	0	1	1	0	1	0	0	1	0	0
hlukile	0	0	0	0	0	0	0	0	0	0
ukungafani	0	1	1	0	1	0	0	1	0	0
u bubele	0	1	0	0	0	0	0	1	0	0
ukuthumela	0	0	0	0	0	0	0	0	0	0
ukukhupha	0	1	0	0	0	0	0	1	0	0
ulawulo	0	0	0	0	0	0	0	0	0	0
ukusabalalisa	0	0	0	0	0	0	0	0	0	0
sasaza	0	0	0	0	0	0	0	0	0	0
sasazwa	0	0	0	0	0	0	0	0	0	0
sasazwa	0	1	0	0	0	0	0	0	0	0
ukuchithwa	0	1	0	0	0	0	0	0	0	0
abafudukiweyo	0	0	1	0	0	1	0	1	0	0
ukufuduka	0	0	0	0	0	0	0	0	0	0
bonise	0	0	0	0	0	0	0	0	0	0
ngafuni	0	1	1	0	1	1	0	1	0	0
ukucaphukisa	0	1	0	0	1	0	0	0	0	0
ukulahla	0	1	0	0	0	0	0	0	0	0
ukulahla	0	0	0	0	1	0	0	0	0	0
kulahlwa	1	0	0	1	0	0	0	0	0	1
isimo	0	0	0	0	0	0	0	0	0	0
ku rhoxiswa	0	1	1	0	0	1	0	1	0	0
zi khanyela	0	0	0	0	0	0	0	0	0	0
mbambano	0	1	1	0	0	0	0	0	0	0
ukungafanelekanga	0	1	0	0	0	0	0	0	0	0
nga fa nelwanga	0	1	1	0	1	0	0	1	0	0
ukungafanelekanga	0	1	0	0	0	0	0	1	0	0
ngahoywa	0	1	0	0	0	0	0	0	0	0
nga tyeswanga	0	1	0	0	1	0	0	0	0	0
aphikisiwe	0	1	1	0	1	1	0	0	0	0
zi gculela	0	0	0	0	0	0	0	0	0	0
nga hloneli	0	1	1	0	0	0	0	0	0	0
nga hloneli	0	1	1	0	1	1	0	1	0	0
ukuphazamiseka	0	1	1	0	0	1	0	0	1	0
ukunganeliseki	0	1	0	0	0	0	0	0	0	0
nga nelanga	0	0	0	0	0	0	0	0	0	0
ukudibanisa	0	0	0	0	0	0	0	0	0	0
ukudibanisa	0	0	0	0	1	0	0	0	0	0
sasazwa	1	0	0	0	0	0	0	0	0	0
sasazwa	0	0	0	0	0	0	0	0	0	0
ukungqubana	0	1	1	0	0	0	0	0	0	0
ukuphikiswa	0	0	0	0	0	0	0	0	0	0
ku chasene	0	1	0	0	0	0	0	0	0	0
ukukhutshwa	0	0	0	0	0	0	0	0	0	0
ukunyuswa	0	1	1	0	1	0	0	1	0	0
ngafuni	0	1	1	0	0	1	0	0	0	0
ahluke	0	0	0	0	0	0	0	0	0	0
ukusabalalisa	0	0	0	0	0	0	0	0	0	0
zi lahliwe	0	0	0	0	0	0	0	0	0	0
hlukana	0	0	0	0	0	0	0	0	0	0
ukuchithwa	0	1	1	0	0	1	0	1	1	0
qhekeka	0	0	0	0	0	0	0	0	0	0
ukuxhomekeka	0	1	1	0	0	0	0	0	0	0
zikhuphe	0	0	0	0	0	0	0	0	0	0
distal	0	0	0	0	0	0	0	0	0	0
umgama	0	0	0	0	0	0	0	0	0	0
kude	0	0	0	0	0	0	0	0	0	0
ukuphazamiseka	0	1	0	0	1	0	0	0	0	0
ephazamisayo	0	1	0	0	1	0	0	0	0	0
distillate	0	0	0	0	0	0	0	0	0	0
zi nkunkuma	1	0	0	0	0	0	0	0	0	0
umahluko	1	0	0	0	0	0	0	0	0	0
ezahlukileyo	0	0	0	0	0	0	0	0	0	0
kwahlula	0	0	0	0	0	0	0	0	0	0
zahlula	0	0	0	0	0	0	0	0	0	0
zahluke	0	0	0	0	0	0	0	0	0	0
ukwahlula	0	0	0	0	0	0	0	0	0	0
ziphosakele	0	1	0	0	1	0	0	0	0	0
uphazanyiso	0	1	0	0	0	0	0	0	0	0
pha zamisa	0	1	0	0	0	0	0	0	0	0
phazanyiswa	0	1	1	0	0	0	0	0	0	0
pha zamisa	0	1	1	1	0	0	0	0	0	0
ukuphazamiseka	0	1	0	0	0	0	0	0	0	0
kuphazamiseka	0	1	0	0	0	0	0	1	0	0
ndezelo	0	1	1	0	1	1	0	1	1	0
xineke	0	1	0	0	0	1	0	0	0	0
xhaphaza	0	1	1	0	0	1	0	0	0	0
sasaza	0	0	0	0	0	0	0	0	0	0
sasazwa	0	0	0	0	0	0	0	0	0	0
yesithili	0	0	0	0	0	0	0	0	0	0
nga thembeli	0	1	1	0	1	1	0	0	0	0
ukuphazamiseka	0	1	1	0	0	1	0	1	1	0
pha zamisa	0	1	1	0	0	0	0	1	0	0
se benzisa	0	1	0	0	0	0	0	0	0	0
yaxhatshazwa	0	1	1	0	0	0	0	0	0	0
emhadeni	0	0	0	0	0	0	0	0	0	0
idilesi	0	0	0	0	0	0	0	0	0	0
ematyaleni	1	0	0	0	0	0	1	0	0	0
ukutshintsha	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	1
dive	0	0	0	0	0	0	0	0	0	0
ukungafani	0	0	0	0	0	0	0	0	0	0
bahluke	0	0	0	0	0	0	0	0	0	0
ukungafani	0	0	0	0	0	0	0	0	0	0
hlukana	0	1	0	0	0	0	0	0	1	0
ukuphazamisa	0	0	0	0	0	0	0	0	0	0
abahlukeneyo	0	0	0	0	0	0	0	0	0	0
ezahlukeneyo	1	1	0	0	0	0	0	0	0	0
ezahlukeneyo	1	0	0	0	0	0	0	0	0	0
hlukana	0	0	0	0	0	0	0	0	0	0
ukuphazamiseka	1	0	0	0	0	0	0	0	1	0
hlukana	0	0	0	0	0	0	0	0	0	0
ukuguqula	0	0	0	0	0	0	0	0	0	0
ukuphambukisa	0	0	0	0	0	0	0	0	0	0
hlukana	0	0	0	0	0	0	0	0	0	0
yahlulwa	0	1	0	0	0	0	0	0	0	0
ulwahlulo	0	1	0	0	0	0	0	0	0	0
ukwahlula	0	0	0	0	0	0	0	0	0	0
yahlula	0	0	0	0	0	0	0	0	0	0
isabelo	0	0	0	0	0	0	0	0	0	0
ukubhula	0	0	0	1	0	0	0	0	0	0
nguThixo	0	0	0	0	0	0	0	0	0	0
nobuthixo	1	0	0	0	0	0	0	0	0	0
hlukana	0	0	0	0	0	0	0	0	0	0
ukwahlukana	0	0	0	0	0	0	0	0	0	0
umcebisi	0	0	0	0	0	0	0	0	0	0
umtshato	0	1	1	0	1	1	0	1	1	1
zichaze	0	0	0	0	0	0	0	0	0	0
ukungcola	0	1	0	0	0	0	0	0	0	0
dizzy	0	1	0	0	0	0	0	0	0	0
kutyunjwa	0	0	0	0	0	0	0	0	0	0
umkhosi	0	0	0	0	0	0	0	0	0	0
udibene	0	1	0	0	0	0	0	0	0	0
idokethi	0	0	0	0	0	0	0	0	0	0
ugqirha	1	0	0	0	0	0	0	0	0	1
mfundiso	0	0	0	0	0	0	0	0	0	0
mfundiso	0	0	0	0	0	0	0	0	0	1
uxwebhu	0	0	0	0	0	0	0	0	0	0
uxwebhu	0	0	0	0	0	0	0	0	0	0
dodge	0	0	0	0	0	0	0	0	0	0
ukuhamba	0	0	0	0	0	0	0	0	0	0
doe	0	0	0	0	0	0	0	0	0	0
umenzi	1	0	0	0	0	0	0	0	0	0
inja	0	0	0	0	0	0	0	0	0	0
zibophe	1	0	0	0	0	0	0	0	0	0
imfundiso	0	0	0	0	0	0	0	0	0	1
ngqiqweni	0	0	0	0	0	0	0	0	0	0
nezenzo	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	1	0	0	0	0	0	0	0	0
iindlovu	0	1	0	0	0	0	0	1	0	0
dole	0	1	0	0	0	0	0	1	0	0
doll	0	0	0	0	0	0	1	0	0	0
idola	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	1	0	0	0	0	0	1	0	0
i dolphin	1	0	0	0	0	0	1	0	1	1
kwisizinda	0	0	0	0	0	0	0	0	0	0
dome	0	0	0	0	0	0	0	0	0	0
lwasekhaya	0	0	0	0	0	0	0	0	0	0
ekhaya	0	0	0	0	0	0	0	0	0	0
lwasekhaya	0	0	0	0	0	0	0	0	0	0
kwiindawo zokuhlala	0	0	0	0	0	0	0	0	0	0
lawulwa	0	0	0	0	0	0	0	0	0	0
lawula	0	0	0	0	0	0	0	0	0	0
ephezulu	0	1	0	0	0	1	0	0	0	0
lawula	1	1	1	0	0	1	0	0	0	0
lawula	0	0	0	0	0	0	0	0	0	0
lawulo	0	1	1	0	0	1	0	1	0	0
lawulo	0	0	0	0	0	1	0	0	0	1
domino	0	0	0	0	0	0	0	0	0	0
nikela	1	0	0	0	0	0	0	0	0	1
mnikelo	1	0	0	0	0	0	0	0	0	0
esile	0	1	0	0	1	0	0	0	0	0
umnikeli	0	0	0	0	0	0	0	0	0	0
udoti	0	1	0	0	0	0	0	0	0	0
kutshabalalisa	0	1	0	0	0	1	0	0	0	0
kutshabalalisa	0	1	0	0	0	1	0	1	0	0
ukuphela kwexesha	0	1	1	1	1	1	0	1	0	0
emnyango	0	0	0	0	0	0	0	0	0	0
umnyango	0	0	0	0	0	0	0	0	0	0
emnyango	0	0	0	0	0	0	0	0	0	0
lileyo	0	0	0	0	0	0	0	0	0	0
kwiborori	0	0	0	0	0	0	0	0	0	0
ukulahla	0	0	0	0	0	0	0	0	0	0
dose	0	0	0	0	0	0	0	0	0	0
ichaphaza	0	0	0	0	0	0	0	0	0	0
kabini	0	0	0	0	0	0	0	0	0	0
kabini	0	0	0	0	0	0	0	0	0	0
kabini	0	0	0	0	0	0	0	0	0	0
kabini	0	0	0	0	0	0	0	0	0	0
tha ndabuza	0	1	0	0	0	1	0	1	0	1
tha ndabuza	0	1	0	0	0	0	0	0	0	0
ukungathandabuzeki	0	1	0	0	0	0	0	0	0	0
ngokungathandabuzekiyo	1	0	0	0	0	0	0	0	0	1
i shower	0	1	0	0	0	0	0	0	0	0
intlama	0	0	0	0	0	0	0	0	0	0
idonut	0	0	0	0	0	0	0	0	0	0
kudla	0	1	0	0	0	0	0	0	0	0
ihobe	1	0	0	1	0	0	1	0	0	1
ukuhlaselwa	0	0	0	0	0	0	0	0	0	0
ukuwa	0	1	0	0	0	1	0	1	0	0
kwehla	0	0	0	0	0	0	0	0	0	0
imvula	0	0	0	0	0	0	0	0	0	0
ngqo	0	0	0	0	0	0	0	0	0	1
behla	1	0	0	0	0	0	0	0	0	0
i dowari	0	0	0	0	0	0	0	0	0	0
doze	0	0	0	0	0	0	0	0	0	0
eziliqela	0	0	0	0	0	0	0	0	0	0
idrab	0	1	0	0	0	0	0	1	0	0
qulunqa	0	0	0	1	0	0	0	0	0	0
udonsela	0	0	0	0	0	0	0	0	0	0
inamba	0	0	0	0	0	1	0	0	0	0
cima	0	0	0	0	0	0	0	0	0	0
amanzi	0	1	0	0	0	0	0	0	0	0
yatshiswa	0	0	0	0	0	0	0	0	0	0
utywala	0	0	0	0	0	0	0	0	0	0
umdlalo	0	0	0	0	0	0	0	0	0	0
kakhulu	0	0	0	0	0	0	0	0	0	0
udwebe	0	0	0	0	0	0	0	0	0	0
ukukhupha	0	0	0	0	0	0	0	0	0	0
lukhulu	0	0	0	0	0	0	0	0	0	0
qulunqa	0	0	0	0	0	0	0	0	0	0
udwebe	0	0	0	0	0	0	0	0	0	0
umva	0	1	0	0	0	0	0	0	0	0
idraki	0	0	0	0	0	0	0	0	0	0
abadwebi	0	0	0	0	0	0	0	0	0	0
umzobo	0	0	0	0	0	0	0	0	0	0
soyika	0	1	0	1	0	1	0	0	0	0
yoyikekayo	0	1	1	1	1	1	0	1	0	0
u koyika	0	1	0	0	1	1	0	1	1	0
phupha	0	0	0	0	0	0	0	0	0	0
phupha	0	0	0	0	0	0	0	0	0	0
ephuphayo	0	0	0	0	0	0	0	0	0	0
ephuphayo	0	0	0	0	0	0	0	0	0	0
dreary	0	1	0	0	0	0	0	1	0	0
ku dredge	0	0	0	0	0	0	0	0	0	0
lityhutyhile	0	0	0	0	0	0	0	0	0	0
umgcini	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
omisiwe	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
ukuhamba	0	0	0	0	0	0	0	0	0	0
ikhutshwe	0	0	0	0	0	0	0	0	0	0
kubetha	0	0	0	0	0	0	0	0	0	0
ukusela	0	0	0	0	0	0	0	0	0	0
kusela	0	1	0	0	0	0	0	0	0	0
kuvuza	0	0	0	0	0	0	0	0	0	0
kuvuza	0	0	0	0	0	0	0	0	0	0
ukuhamba	0	1	0	0	1	0	0	0	0	0
umqhubi	0	0	0	0	0	0	0	0	0	0
indlela yokuhamba	0	0	0	0	0	0	0	0	0	0
kuvuza	0	0	0	0	0	0	0	0	0	0
umquba	0	0	0	0	0	0	0	0	0	0
utywala	0	1	0	0	0	0	0	0	0	0
drool	0	0	0	0	1	0	0	0	0	0
ukuxhamla	0	1	0	0	0	0	0	0	0	0
behla	0	0	0	0	0	0	0	0	0	0
droplet	0	0	0	0	0	0	0	0	0	0
mbalela	0	1	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
ngca	0	1	0	0	0	1	0	1	0	0
kulala	0	1	0	0	0	0	0	0	0	0
elele	0	0	0	0	0	0	0	0	0	0
ngxakini	0	1	0	0	0	0	0	0	0	0
iziyobisi	0	0	0	0	0	0	0	0	0	0
izidakamizwa	0	0	0	0	0	0	0	1	0	0
yeziyobisi	0	0	0	0	0	0	0	0	0	0
i dru dru	0	0	0	0	0	0	0	0	0	0
idrama	0	0	0	0	0	0	0	0	0	0
umdaka	0	0	0	0	0	0	0	0	0	0
ngqungquthela	0	0	0	0	0	0	0	0	0	0
udakwa	0	1	0	0	1	0	0	0	0	0
u kunxila	0	1	0	0	0	0	0	0	0	0
yomile	0	0	0	0	0	0	0	0	0	0
owomileyo	0	0	0	0	0	0	0	0	0	0
babini	0	0	0	0	0	0	0	0	0	0
ubuxoki	0	0	0	0	0	0	0	0	0	0
udidi	0	0	0	0	0	0	0	0	0	0
dub	0	0	0	0	0	0	0	0	0	0
buhlungu	0	1	0	0	0	1	0	0	0	1
ducking	0	0	0	0	0	0	0	0	0	0
ihambo	0	0	0	0	0	0	0	0	0	0
ductile	0	0	0	0	0	0	0	0	0	0
duds	0	0	0	0	0	0	0	0	0	0
efanelekileyo	0	0	0	0	0	0	0	0	0	0
duel	0	0	1	1	0	1	0	0	0	0
zicelo	0	0	0	0	0	0	0	0	0	0
duet	1	0	0	0	0	0	0	0	0	0
umgca	0	0	0	0	0	0	0	0	0	0
umbusi	1	0	0	0	0	0	0	0	0	0
ngca	0	1	0	0	0	0	0	1	0	0
sidenge	0	1	0	0	0	0	0	0	0	0
dummy	0	1	0	0	0	0	0	0	0	0
ukulahlwa	0	0	0	0	0	0	0	0	0	0
ukulahla	0	1	1	0	0	0	0	1	0	0
dun	0	1	0	0	0	0	0	0	0	0
indunduma	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	1	0	0	0	0	0
emgodini	0	1	0	0	0	1	0	0	0	0
duo	0	0	0	0	0	0	0	0	0	0
ukuphanga	0	1	1	0	0	0	0	0	0	0
duplex	0	0	0	0	0	0	0	0	0	0
kuphinda	0	0	0	0	0	0	0	0	0	0
kuphinda	0	0	0	0	0	0	0	0	0	0
ngokuphindaphindiweyo	0	1	1	0	0	0	0	0	0	0
ukuzinza	1	0	0	0	0	0	0	0	0	1
ehlala njalo	1	0	0	0	0	0	0	0	0	1
ixesha	0	0	0	0	0	0	0	0	0	0
ukunyanzelisa	0	1	1	0	1	1	0	1	0	0
kusasa	0	0	0	0	0	0	0	0	0	0
i-dusky	0	0	0	0	0	0	0	0	0	0
uthuli	0	1	0	0	0	0	0	0	0	0
ngombusi	0	0	0	0	0	0	0	0	0	0
uthuli	0	0	0	0	0	0	0	0	0	0
efanelekileyo	1	0	0	1	0	0	0	0	0	1
ncinane	0	0	0	0	0	0	0	0	0	0
ncinane	0	1	0	0	0	1	0	1	0	0
kuhlala	0	0	0	0	0	0	0	0	0	0
kuhlala	0	0	0	0	0	0	0	0	0	0
kuhlala	0	0	0	0	0	0	0	0	0	0
idayi	0	0	0	0	0	0	0	0	0	0
bafa	0	1	1	0	1	1	0	1	0	0
dyke	0	0	0	0	0	0	0	0	0	0
eguqukayo	0	0	0	0	0	0	0	0	1	0
iguquguqukayo	0	0	0	0	0	0	0	0	0	0
zitshintshi	0	0	0	0	0	0	0	0	0	0
i-dynamite	0	0	0	0	0	0	0	0	0	0
ubukhosi	0	0	0	0	0	0	0	0	0	0
isifo somhlaza	0	1	0	0	1	0	0	1	0	0
dyspepsia	0	0	0	0	0	0	0	0	0	0
ngxamele	1	0	0	1	0	0	1	0	1	1
ukulangazelela	1	0	0	1	0	0	1	0	0	1
ukhozi	0	0	0	0	0	0	0	0	0	1
indlebe	0	0	0	0	0	0	0	0	0	0
indlebe	1	0	0	0	0	0	0	0	0	0
ngaphambili	0	0	0	0	0	0	0	0	0	0
kusasa	0	0	0	0	0	0	0	0	0	0
fumana	1	0	0	0	0	0	0	0	0	0
ngokunyanisekileyo	1	0	0	0	0	0	0	0	0	0
ngokunyanisekileyo	1	0	0	0	0	0	0	0	0	0
ukunyaniseka	1	0	0	0	0	0	0	0	0	0
ngeniso	0	0	0	0	0	0	0	0	0	0
indlebe	0	0	0	0	0	0	0	0	0	0
iindlebe	0	0	0	0	0	0	0	0	0	0
mhlabeni	0	0	0	0	0	0	0	0	0	0
zobumba	0	0	0	0	0	0	0	0	0	0
emhlabeni	0	0	0	0	0	0	0	0	0	0
inyikima	0	1	1	0	0	1	0	1	1	0
umhlaba	0	0	0	0	0	0	0	0	0	0
kukhulula	1	0	0	0	0	0	0	0	0	0
easel	0	0	0	0	0	0	0	0	0	0
uhlengahlengiso	1	0	0	0	0	0	0	0	0	0
lula	0	0	0	0	0	0	0	0	0	0
kulula	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	1	0	0	0	0	0	0	0	0	0
badle	1	0	0	0	0	0	0	0	0	0
ukutya	0	0	0	0	0	0	0	0	0	0
ukuhamba	0	1	0	0	0	0	0	0	0	0
bhu	0	0	0	0	0	0	0	0	0	0
ebony	0	0	0	0	0	0	0	0	0	0
ekhohlo	0	0	0	0	0	0	0	0	0	0
ukuxhamla	0	0	0	0	0	0	0	0	0	0
ecaweni	0	0	0	0	0	0	0	0	0	0
bhala	0	0	0	0	0	0	0	0	0	0
eclectic	0	0	0	0	0	0	0	0	0	0
ukugqiba	0	0	0	0	0	0	0	0	0	0
ecliptic	0	0	0	0	0	0	0	0	0	0
qoqosho	0	0	0	0	0	0	0	0	0	0
qoqosho	0	0	0	0	0	0	0	0	0	0
qoqosho	0	0	0	0	0	0	0	0	0	1
kuvuya	1	0	0	1	0	0	1	0	0	0
nwabisa	1	0	0	1	0	0	1	0	1	0
ecumeniki	0	0	0	0	0	0	0	0	0	0
eddy	0	0	0	0	0	0	0	0	0	0
umda	0	0	0	0	0	0	0	0	0	0
ukuhlela	0	0	0	0	0	0	0	0	0	0
ezidliwayo	0	0	0	0	0	0	0	0	0	0
myalelo	0	1	0	0	0	1	0	0	0	0
yokwakha	1	0	0	1	0	0	1	0	0	1
edifice	0	0	0	0	0	0	0	0	0	0
ukuhlela	0	0	0	0	0	0	0	0	0	0
lohlobo	0	0	0	1	0	0	0	0	0	0
umhleli	0	0	0	0	0	0	0	0	0	0
uhleli	0	0	0	0	0	0	0	0	0	0
fundisa	1	0	0	0	0	0	0	0	0	0
fundiswa	1	0	0	0	0	0	0	0	0	0
imfundo	0	0	0	0	0	0	0	0	0	0
zemfundo	1	0	0	0	0	0	0	0	0	1
I-eel	0	0	0	0	0	1	0	0	0	0
siphumo	0	0	0	0	0	0	0	0	0	0
ngempumelelo	1	0	0	0	0	0	0	0	0	1
ziphumo	0	0	0	0	0	0	0	0	0	0
efanelekileyo	0	0	0	0	0	0	0	0	0	0
ngokugqibeleleyo	0	0	0	0	0	0	0	0	0	0
kwenziwa	0	0	0	0	0	0	0	0	0	0
kuphelisa	0	1	0	0	0	0	0	0	0	0
ngempumelelo	0	0	0	0	0	0	0	0	0	0
ngempumelelo	1	0	0	0	0	0	0	0	0	0
ngempumelelo	1	0	0	0	0	0	0	0	0	0
ngempumelelo	1	0	0	1	0	0	0	0	0	1
i-effigy	0	0	1	0	0	0	0	0	0	0
umzamo	1	0	0	0	0	0	0	0	0	0
ukuxuba	0	0	0	0	0	0	0	0	0	0
iqanda	0	0	0	0	0	0	0	0	0	0
ego	0	0	0	0	0	0	0	0	0	0
ukuzithethelela	0	1	0	0	1	0	0	0	0	0
ezibuhlungu	0	1	1	0	1	0	0	0	0	0
gca	0	0	0	0	0	0	0	0	0	0
Isibhozo	0	0	0	0	0	0	0	0	0	0
Amashumi asibhozo	0	0	0	0	0	0	0	0	0	0
ejaculate	0	0	0	0	0	0	0	0	0	0
ejaculation	1	0	0	1	0	0	1	0	1	1
ukuyeka	0	1	0	0	0	0	0	0	0	0
ejection	0	1	0	0	0	0	0	0	0	0
cacisa	0	0	0	0	0	0	0	0	0	0
ku caciswa	1	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
gqityiwe	0	0	0	0	0	0	0	0	0	0
elastic	0	0	0	0	0	0	0	0	0	0
ukunyaniseka	0	0	0	0	0	0	0	0	0	0
nwabile	1	0	0	0	0	0	1	0	0	0
ibhokhwe	0	0	1	0	0	0	0	0	0	0
endala	0	0	0	0	0	0	0	0	0	0
ngumdala	1	0	0	0	0	0	0	0	0	1
badala	0	0	0	0	0	0	0	0	0	0
badala	1	0	0	0	0	0	0	0	0	1
endala	0	0	0	0	0	0	0	0	0	0
ukhethwa	1	0	0	0	0	0	0	0	0	1
ukhetho	0	0	0	0	0	0	0	0	0	0
unyulo	0	0	0	0	0	0	0	0	0	0
bakhethi	0	0	0	0	0	0	0	0	0	1
zombane	1	0	0	0	0	0	1	0	1	0
umbane	1	0	0	0	0	0	0	0	0	0
ubuhle	1	0	0	1	0	0	1	0	0	1
ezintle	1	0	0	0	0	0	1	0	0	0
lento	0	0	0	0	0	0	0	0	0	0
eziphambili	0	0	0	0	0	0	0	0	0	0
izinto	0	0	0	0	0	0	0	0	0	0
indlovu	0	0	0	0	0	0	0	0	0	0
pha kamisa	0	0	0	0	0	0	0	0	0	0
phezulu	1	0	0	1	0	1	1	0	0	1
elevator	0	0	0	0	0	0	0	0	0	0
Shumi elinanye	0	0	0	0	0	0	0	0	0	0
Ishumi elinanye	0	0	0	0	0	0	0	0	0	0
elf	0	0	1	0	1	1	0	0	0	0
kucela	0	0	0	0	0	0	0	0	0	0
zifanelekile	1	0	0	0	0	0	0	0	0	0
ku pheliswa	0	1	1	0	1	1	0	1	0	0
elite	1	0	0	1	0	0	1	0	0	1
elk	0	0	0	0	0	0	0	0	0	0
ell	0	0	0	0	0	0	0	0	0	0
ellipse	0	0	0	0	0	0	0	0	0	0
ellipsis	0	0	0	0	0	0	0	0	0	0
ellipsoid	0	0	0	0	0	0	0	0	0	0
elliptic	0	0	0	0	0	0	0	0	0	0
elliptical	0	0	0	0	0	0	0	0	0	0
zixhomekeke	0	0	0	0	0	0	0	0	0	0
elongation	0	0	0	0	0	0	0	0	0	0
ngokucacileyo	1	0	0	0	0	0	0	0	0	0
u buchule	1	0	0	0	0	0	0	0	0	0
kuluhlu	1	0	0	0	0	0	0	0	0	1
ukucaciswa	0	0	0	0	0	0	0	0	0	0
kuluhlu	0	0	0	0	0	0	0	0	0	0
azinako	0	1	0	0	0	0	0	0	1	0
zixhamle	0	1	0	0	0	1	0	1	0	0
kuphuma	0	0	0	0	0	0	0	0	0	0
khulule	1	0	0	1	0	0	1	0	0	0
ukumbamba	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	1	0	0	0	0	0	0	0	0
qalisa	0	0	0	0	0	0	0	0	0	0
uhlazo	0	1	0	0	0	0	0	1	0	0
ihlazo	0	1	0	0	0	0	0	0	0	0
neentloni	0	1	0	0	0	1	0	1	1	0
i-ambassy	0	0	0	0	0	0	0	0	0	0
ngenelo	0	0	0	0	0	0	0	0	0	0
embellish	0	0	0	0	0	0	0	0	0	0
embellishment	0	0	0	0	0	0	0	0	0	0
zibandakanya	0	0	0	0	0	0	0	0	0	0
ukugcoba	0	1	0	0	0	0	0	0	0	0
uphawu	0	0	0	0	0	0	0	0	0	0
impawu	0	0	0	0	0	0	0	0	0	0
yohlobo	0	0	0	0	0	0	0	0	0	0
ukumbumba	0	1	0	0	0	1	0	1	0	0
embossed	0	0	0	0	0	0	0	0	0	0
kwamkela	1	0	0	1	0	0	1	0	1	1
eboshwe	0	0	0	0	0	0	0	0	0	0
ukukhahlela	0	0	0	0	0	0	0	0	0	0
zibandakanya	0	1	0	0	0	0	0	0	0	0
embryo	0	0	0	0	0	0	0	0	0	0
embryonic	0	0	0	0	0	0	0	0	0	0
emerald	0	0	0	0	0	0	0	0	0	0
kuvela	0	0	0	0	0	0	0	0	0	0
kuvela	0	0	0	0	0	0	0	0	0	0
ngxakeko	0	1	0	0	0	1	0	1	1	0
kuvela	1	0	0	0	0	0	0	0	0	0
ukufuduka	0	0	0	0	0	0	0	0	0	0
ukufuduka	0	0	0	0	0	0	0	0	0	0
ubukhulu	1	0	0	0	0	0	0	0	0	1
eziphambili	1	0	0	0	0	0	0	0	0	0
ngokugqithiseleyo	1	0	0	0	0	0	0	0	0	0
NO TRANSLATION	1	0	0	0	0	0	0	0	0	0
ukukhutshwa	0	0	0	0	0	0	0	0	0	0
kuphuma	0	0	0	0	0	0	0	0	0	0
imvakalelo	0	0	0	0	0	0	0	0	0	0
mvakalelo	0	0	0	0	0	0	0	0	0	0
emotion	0	0	0	0	0	0	0	0	0	0
uvelwano	1	0	0	0	0	0	0	0	0	0
